iter	Passed	Remaining
879	84292	11494
880	84369	11396
881	84460	11299
882	84559	11204
883	84652	11108
884	84735	11010
885	84840	10916
886	84924	10818
887	85006	10721
888	85089	10624
889	85176	10527
890	85265	10430
891	85352	10334
892	85435	10236
893	85520	10139
894	85610	10043
895	85687	9945
896	85774	9849
897	85861	9752
898	85937	9654
899	86022	9558
900	86107	9461
901	86184	9363
902	86275	9267
903	86365	9171
904	86451	9075
905	86534	8978
906	86622	8881
907	86707	8785
908	86803	8689
909	86894	8593
910	86975	8497
911	87055	8400
912	87140	8303
913	87222	8206
914	87306	8110
915	87404	8015
916	87487	7918
917	87571	7822
918	87657	7726
919	87729	7628
920	87816	7532
921	87902	7436
922	87993	7340
923	88074	7244
924	88166	7148
925	88258	7053
926	88368	6958
927	88482	6865
928	88593	6770
929	88709	6677
930	88825	6583
931	88928	6488
932	89031	6393
933	89129	6298
934	89221	6202
935	89304	6106
936	89385	6009
937	89502	5915
938	89622	5822
939	89718	5726
940	89846	5633
941	89956	5538
942	90039	5442
943	90138	5347
944	90236	5251
945	90338	5156
946	90427	5060
947	90535	4966
948	90637	4870
949	90730	4775
950	90847	4680
951	90936	4585
952	91026	4489
953	91126	4393
954	91233	4298
955	91459	4209
956	91585	4115
957	91707	4020
958	91812	3925
959	91910	3829
960	92029	3734
961	92138	3639
962	92238	3543
963	92377	3449
964	92472	3353
965	92573	3258
966	92713	3163
967	92806	3067
968	92923	2972
969	93022	2876
970	93116	2781
971	93213	2685
972	93308	2589
973	93453	2494
974	93543	2398
975	93639	2302
976	93733	2206
977	93823	2110
978	93914	2014
979	94013	1918
980	94097	1822
981	94184	1726
982	94287	1630
983	94400	1534
984	94492	1438
985	94593	1343
986	94687	1247
987	94773	1151
988	94868	1055
989	94966	959
990	95066	863
991	95163	767
992	95246	671
993	95331	575
994	95412	479
995	95506	383
996	95622	287
997	95721	191
998	95818	95
999	95919	0
